0 0 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 5 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 10 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 15 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 20 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 25 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 30 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 35 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 40 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 45 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 50 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 55 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 60 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 65 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 70 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 75 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 80 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 85 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 90 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 95 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 100 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 105 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 110 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 115 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 120 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 125 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 130 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 135 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 140 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 145 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 150 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 155 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 160 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 165 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0 170 8128.94 5945.72 5814.53 3910.07 2314.41 2035.65 0 0
0.002 0 8136.47 5945.72 5822.09 3910.07 2314.38 2035.65 0.002 0
0.002 5 8137.64 5945.72 5822.77 3910.07 2314.87 2035.65 0.000567324 -0.001917849
0.002 10 8137.97 5945.72 5822.76 3910.07 2315.21 2035.64 -0.001678143 -0.001088042
0.002 15 8137.3 5945.72 5821.99 3910.07 2315.31 2035.64 -0.001519376 0.001300576
0.002 20 8136.03 5945.72 5820.74 3910.07 2315.28 2035.64 0.000816164 0.001825891
0.002 25 8134.86 5945.72 5819.61 3910.07 2315.25 2035.64 0.001982406 -0.000264704
0.002 30 8134.22 5945.72 5819.03 3910.07 2315.2 2035.64 0.000308503 -0.001976063
0.002 35 8134.1 5945.72 5818.99 3910.07 2315.11 2035.65 -0.001807384 -0.000856365
0.002 40 8134.22 5945.72 5819.16 3910.07 2315.07 2035.65 -0.001333876 0.001490226
0.002 45 8134.45 5945.71 5819.27 3910.07 2315.18 2035.65 0.001050644 0.001701807
0.002 50 8134.76 5945.71 5819.34 3910.07 2315.42 2035.64 0.001929932 -0.00052475
0.002 55 8134.95 5945.71 5819.39 3910.07 2315.57 2035.64 4.42535E-05 -0.00199951
0.002 60 8134.7 5945.71 5819.3 3910.07 2315.39 2035.64 -0.001904826 -0.000609621
0.002 65 8133.93 5945.71 5819.02 3910.07 2314.91 2035.65 -0.001124908 0.001653657
0.002 70 8133.19 5945.71 5818.84 3910.07 2314.35 2035.65 0.001266638 0.001547781
0.002 75 8133.22 5945.71 5819.25 3910.07 2313.97 2035.65 0.001843503 -0.000775563
0.002 80 8134.2 5945.71 5820.3 3910.07 2313.9 2035.65 -0.000220774 -0.001987777
0.002 85 8135.7 5945.71 5821.55 3910.07 2314.16 2035.65 -0.001968753 -0.000352151
0.002 90 8137.13 5945.71 5822.5 3910.07 2314.63 2035.65 -0.000896147 0.001787993
0.002 95 8137.93 5945.71 5822.86 3910.07 2315.07 2035.65 0.001460347 0.001366523
0.002 100 8137.74 5945.71 5822.46 3910.07 2315.29 2035.65 0.001724638 -0.001012731
0.002 105 8136.69 5945.71 5821.38 3910.07 2315.31 2035.65 -0.000481918 -0.001941071
0.002 110 8135.39 5945.71 5820.12 3910.07 2315.27 2035.65 -0.001998042 -8.84854E-05
0.002 115 8134.46 5945.71 5819.23 3910.07 2315.23 2035.65 -0.00065162 0.001890871
0.002 120 8134.11 5945.71 5818.95 3910.07 2315.16 2035.65 0.001628362 0.001161222
0.002 125 8134.14 5945.71 5819.06 3910.07 2315.08 2035.65 0.001575429 -0.001232081
0.002 130 8134.33 5945.72 5819.23 3910.07 2315.1 2035.65 -0.000734583 -0.001860212
0.002 135 8134.61 5945.72 5819.31 3910.07 2315.3 2035.65 -0.001992176 0.000176737
0.002 140 8134.89 5945.72 5819.37 3910.07 2315.53 2035.65 -0.000395627 0.001960479
0.002 145 8134.9 5945.72 5819.38 3910.07 2315.53 2035.65 0.001767727 0.00093549
